path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
leng_kee_road,52,Leng Kee Road_Cam4_20251226_083038_078_C.jpeg,,816.133,811.042,812.0,6.043,,
leng_kee_road,53,Leng Kee Road_Cam4_20251226_083041_682_C.jpeg,,828.336,822.235,822.0,6.402,,
leng_kee_road,54,Leng Kee Road_Cam4_20251226_083045_887_C.jpeg,,835.658,831.997,832.0,8.187,,
leng_kee_road,55,Leng Kee Road_Cam4_20251226_083048_289_C.jpeg,,845.674,840.666,840.0,9.585,,
leng_kee_road,56,Leng Kee Road_Cam4_20251226_083051_292_C.jpeg,,856.334,851.004,852.0,10.169,,
leng_kee_road,57,Leng Kee Road_Cam4_20251226_083053_694_C.jpeg,,864.988,860.661,860.0,10.374,,
leng_kee_road,58,Leng Kee Road_Cam4_20251226_083055_497_C.jpeg,,875.079,870.033,870.0,7.914,,
leng_kee_road,59,Leng Kee Road_Cam4_20251226_083057_898_C.jpeg,,885.715,880.397,880.0,5.225,,
leng_kee_road,60,Leng Kee Road_Cam4_20251226_083100_900_C.jpeg,,894.647,890.181,890.0,4.438,,
leng_kee_road,61,Leng Kee Road_Cam4_20251226_083104_505_C.jpeg,,918.105,906.376,906.0,4.432,0.781,1.0
leng_kee_road,62,Leng Kee Road_Cam4_20251226_083228_608_C.jpeg,,926.238,922.171,922.0,5.112,,
leng_kee_road,63,Leng Kee Road_Cam4_20251226_083231_611_C.jpeg,,936.684,931.461,932.0,4.772,,
leng_kee_road,64,Leng Kee Road_Cam4_20251226_083235_213_C.jpeg,,945.548,941.116,942.0,4.891,,
leng_kee_road,65,Leng Kee Road_Cam4_20251226_083238_217_C.jpeg,,956.21,950.879,950.0,4.898,,
leng_kee_road,66,Leng Kee Road_Cam4_20251226_083241_820_C.jpeg,,965.415,960.812,960.0,5.297,,
leng_kee_road,67,Leng Kee Road_Cam4_20251226_083244_824_C.jpeg,,976.658,971.036,972.0,5.927,,
leng_kee_road,68,Leng Kee Road_Cam4_20251226_083248_430_C.jpeg,,986.727,981.692,982.0,5.698,,
leng_kee_road,69,Leng Kee Road_Cam4_20251226_083252_635_C.jpeg,,998.031,992.379,992.0,5.532,,
leng_kee_road,70,Leng Kee Road_Cam4_20251226_083257_440_C.jpeg,,1009.902,1003.966,1004.0,5.069,,
leng_kee_road,71,Leng Kee Road_Cam4_20251226_083301_646_C.jpeg,,1017.06,1013.481,1014.0,5.77,,
leng_kee_road,72,Leng Kee Road_Cam4_20251226_083304_048_C.jpeg,,1043.611,1030.336,1030.0,6.661,,
