path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade
amk_industrial_park_2,AMK Industrial Park 2,0.0,31784.088,40007.432,13.96,10.413,10.413,,
amk_industrial_park_2,AMK Industrial Park 2,2.0,31783.768,40005.458,11.938,10.413,10.413,,
amk_industrial_park_2,AMK Industrial Park 2,4.0,31783.448,40003.484,12.224,10.413,10.413,,
amk_industrial_park_2,AMK Industrial Park 2,6.0,31783.127,40001.51,11.046,10.413,10.413,,
amk_industrial_park_2,AMK Industrial Park 2,8.0,31782.807,39999.535,10.202,10.413,10.413,,
amk_industrial_park_2,AMK Industrial Park 2,10.0,31782.487,39997.561,10.032,10.275,10.315,,
amk_industrial_park_2,AMK Industrial Park 2,12.0,31782.165,39995.587,10.138,10.138,10.315,,
amk_industrial_park_2,AMK Industrial Park 2,14.0,31781.84,39993.614,11.321,10.315,10.315,,
amk_industrial_park_2,AMK Industrial Park 2,16.0,31781.515,39991.64,10.768,10.493,10.493,,
amk_industrial_park_2,AMK Industrial Park 2,18.0,31781.191,39989.667,10.671,10.671,10.671,,
amk_industrial_park_2,AMK Industrial Park 2,20.0,31780.866,39987.693,9.477,10.877,10.877,,
amk_industrial_park_2,AMK Industrial Park 2,22.0,31780.507,39985.726,9.85,11.082,11.082,,
amk_industrial_park_2,AMK Industrial Park 2,24.0,31780.142,39983.759,10.3,11.288,11.288,,
amk_industrial_park_2,AMK Industrial Park 2,26.0,31779.778,39981.793,11.537,11.493,11.288,,
amk_industrial_park_2,AMK Industrial Park 2,28.0,31779.414,39979.826,11.508,11.364,11.288,,
amk_industrial_park_2,AMK Industrial Park 2,30.0,31779.049,39977.86,11.904,11.235,11.235,,
amk_industrial_park_2,AMK Industrial Park 2,32.0,31778.696,39975.891,12.481,10.771,10.771,,
amk_industrial_park_2,AMK Industrial Park 2,34.0,31778.351,39973.921,11.272,10.308,10.308,,
amk_industrial_park_2,AMK Industrial Park 2,36.0,31778.007,39971.951,11.676,9.844,9.844,,
amk_industrial_park_2,AMK Industrial Park 2,38.0,31777.662,39969.981,8.177,,9.381,,
amk_industrial_park_2,AMK Industrial Park 2,40.0,31777.317,39968.011,8.152,8.917,8.917,,
amk_industrial_park_2,AMK Industrial Park 2,42.0,31776.982,39966.039,7.502,8.454,8.454,,
amk_industrial_park_2,AMK Industrial Park 2,44.0,31776.649,39964.067,8.277,7.99,7.99,,
amk_industrial_park_2,AMK Industrial Park 2,46.0,31776.315,39962.095,7.564,7.527,7.539,,
amk_industrial_park_2,AMK Industrial Park 2,48.0,31775.981,39960.123,7.539,7.539,7.527,,
amk_industrial_park_2,AMK Industrial Park 2,50.0,31775.647,39958.151,7.489,7.489,7.489,,
amk_industrial_park_2,AMK Industrial Park 2,52.0,31775.465,39956.168,7.452,7.452,7.452,-0.937,1.0
amk_industrial_park_2,AMK Industrial Park 2,54.0,31775.504,39954.169,10.502,7.452,7.452,,
amk_industrial_park_2,AMK Industrial Park 2,56.0,31775.543,39952.169,7.452,7.452,7.452,,
amk_industrial_park_2,AMK Industrial Park 2,58.0,31775.582,39950.169,7.927,7.493,7.493,1.042,1.0
amk_industrial_park_2,AMK Industrial Park 2,60.0,31775.621,39948.17,7.502,7.535,7.535,,
amk_industrial_park_2,AMK Industrial Park 2,62.0,31775.622,39948.468,7.577,7.577,7.535,,
amk_industrial_park_2,AMK Industrial Park 2,64.0,31775.596,39950.468,8.052,7.539,7.535,,
