path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade
lorong_chuan,Lorong Chuan,0.0,30960.178,36609.285,13.385,10.602,10.602,0.0,1.0
lorong_chuan,Lorong Chuan,2.0,30959.95,36611.272,12.329,10.602,10.602,,
lorong_chuan,Lorong Chuan,4.0,30959.722,36613.259,10.602,10.602,10.602,,
lorong_chuan,Lorong Chuan,6.0,30959.494,36615.246,8.407,10.124,10.124,,
lorong_chuan,Lorong Chuan,8.0,30959.266,36617.233,9.329,9.646,9.646,,
lorong_chuan,Lorong Chuan,10.0,30959.038,36619.22,10.405,9.168,9.168,,
lorong_chuan,Lorong Chuan,12.0,30958.832,36621.209,9.555,,8.69,,
lorong_chuan,Lorong Chuan,14.0,30958.696,36623.205,7.444,8.212,8.212,,
lorong_chuan,Lorong Chuan,16.0,30958.561,36625.2,7.656,7.734,7.734,,
lorong_chuan,Lorong Chuan,18.0,30958.425,36627.195,6.59,7.256,7.256,,
lorong_chuan,Lorong Chuan,20.0,30958.29,36629.191,11.001,6.778,6.967,,
lorong_chuan,Lorong Chuan,22.0,30958.154,36631.186,6.967,6.967,6.872,,
lorong_chuan,Lorong Chuan,24.0,30958.132,36633.186,8.888,6.872,6.872,,
lorong_chuan,Lorong Chuan,26.0,30958.127,36635.186,9.322,6.777,6.911,,
lorong_chuan,Lorong Chuan,28.0,30958.121,36637.186,6.682,6.911,6.911,,
lorong_chuan,Lorong Chuan,30.0,30958.115,36639.186,6.704,7.15,7.15,,
lorong_chuan,Lorong Chuan,32.0,30958.194,36641.182,6.138,7.388,7.388,,
lorong_chuan,Lorong Chuan,34.0,30958.372,36643.174,6.467,7.647,7.647,,
lorong_chuan,Lorong Chuan,36.0,30958.551,36645.166,9.335,7.907,7.907,,
lorong_chuan,Lorong Chuan,38.0,30958.729,36647.158,9.52,8.166,8.166,,
lorong_chuan,Lorong Chuan,40.0,30958.908,36649.15,9.258,8.425,8.425,,
lorong_chuan,Lorong Chuan,42.0,30959.086,36651.142,9.399,8.684,8.684,,
lorong_chuan,Lorong Chuan,44.0,30959.265,36653.134,11.208,8.944,8.753,,
lorong_chuan,Lorong Chuan,46.0,30959.421,36655.128,10.146,8.786,8.753,,
lorong_chuan,Lorong Chuan,48.0,30959.568,36657.123,5.921,8.753,8.753,,
lorong_chuan,Lorong Chuan,50.0,30959.715,36659.117,5.918,8.719,8.719,,
lorong_chuan,Lorong Chuan,52.0,30959.862,36661.112,7.604,8.685,8.685,,
lorong_chuan,Lorong Chuan,54.0,30960.009,36663.106,7.562,8.651,8.651,,
lorong_chuan,Lorong Chuan,56.0,30960.156,36665.101,7.643,8.617,8.617,,
lorong_chuan,Lorong Chuan,58.0,30960.303,36667.096,8.62,8.583,8.583,,
lorong_chuan,Lorong Chuan,60.0,30960.449,36669.09,6.0,8.549,8.549,,
lorong_chuan,Lorong Chuan,62.0,30960.596,36671.085,9.54,8.478,8.478,,
lorong_chuan,Lorong Chuan,64.0,30960.743,36673.079,8.097,8.407,8.414,,
lorong_chuan,Lorong Chuan,66.0,30960.89,36675.074,8.336,8.336,8.407,,
lorong_chuan,Lorong Chuan,68.0,30961.048,36677.068,8.414,8.414,8.336,,
lorong_chuan,Lorong Chuan,70.0,30961.21,36679.061,7.581,8.314,8.314,-2.743,1.0
lorong_chuan,Lorong Chuan,72.0,30961.371,36681.055,8.039,8.214,8.214,-1.853,1.0
lorong_chuan,Lorong Chuan,74.0,30961.533,36683.048,6.088,8.113,8.187,,
lorong_chuan,Lorong Chuan,76.0,30961.694,36685.042,8.187,8.187,8.187,,
lorong_chuan,Lorong Chuan,78.0,30961.856,36687.035,8.165,8.165,8.187,,
lorong_chuan,Lorong Chuan,80.0,30962.019,36689.028,6.084,8.289,8.289,,
lorong_chuan,Lorong Chuan,82.0,30962.182,36691.022,10.02,8.414,8.414,5.934,1.0
lorong_chuan,Lorong Chuan,84.0,30962.346,36693.015,8.762,8.538,8.538,,
lorong_chuan,Lorong Chuan,86.0,30962.509,36695.008,8.662,8.662,8.662,,
lorong_chuan,Lorong Chuan,88.0,30962.673,36697.002,11.003,8.725,8.725,,
lorong_chuan,Lorong Chuan,90.0,30962.877,36698.991,8.787,8.787,8.787,,
lorong_chuan,Lorong Chuan,92.0,30963.087,36700.98,8.794,8.794,8.794,,
lorong_chuan,Lorong Chuan,94.0,30963.297,36702.969,8.182,8.861,8.861,,
lorong_chuan,Lorong Chuan,96.0,30963.507,36704.958,11.843,8.929,8.929,,
lorong_chuan,Lorong Chuan,98.0,30963.717,36706.947,10.424,8.996,8.996,,
lorong_chuan,Lorong Chuan,100.0,30963.927,36708.936,9.07,9.064,9.064,,
lorong_chuan,Lorong Chuan,102.0,30964.239,36710.911,13.231,9.132,9.132,,
lorong_chuan,Lorong Chuan,104.0,30964.581,36712.881,13.251,9.199,9.199,,
lorong_chuan,Lorong Chuan,106.0,30964.924,36714.851,9.09,9.267,9.267,,
lorong_chuan,Lorong Chuan,108.0,30965.266,36716.822,10.613,9.335,9.335,,
lorong_chuan,Lorong Chuan,110.0,30965.608,36718.792,20.776,9.402,9.402,,
lorong_chuan,Lorong Chuan,112.0,30965.591,36720.777,21.33,9.47,9.47,,
lorong_chuan,Lorong Chuan,114.0,30965.402,36722.768,12.706,9.538,9.538,,
lorong_chuan,Lorong Chuan,116.0,30965.212,36724.759,6.602,9.605,9.605,,
