path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade
lorong_8_toa_payoh,TPYLor82Q25,108.0,30904.006,35290.655,5.349,5.349,5.349,-0.86,1.0
lorong_8_toa_payoh,TPYLor82Q25,110.0,30905.901,35291.293,5.344,5.344,5.347,-0.933,1.0
lorong_8_toa_payoh,TPYLor82Q25,112.0,30907.79,35291.944,5.334,5.334,5.347,-0.957,1.0
lorong_8_toa_payoh,TPYLor82Q25,114.0,30909.516,35292.955,5.347,5.347,5.347,-0.929,1.0
lorong_8_toa_payoh,TPYLor82Q25,116.0,30911.242,35293.965,5.356,5.356,5.356,-0.967,1.0
lorong_8_toa_payoh,TPYLor82Q25,118.0,30912.968,35294.976,5.36,5.36,5.36,-1.057,1.0
lorong_8_toa_payoh,TPYLor82Q25,120.0,30914.694,35295.987,5.36,5.36,5.36,-1.08,1.0
lorong_8_toa_payoh,TPYLor82Q25,122.0,30916.264,35297.225,5.386,5.386,5.384,-1.121,1.0
lorong_8_toa_payoh,TPYLor82Q25,124.0,30917.835,35298.464,5.384,5.384,5.386,-1.118,1.0
lorong_8_toa_payoh,TPYLor82Q25,126.0,30919.405,35299.702,5.393,5.393,5.393,-1.245,1.0
lorong_8_toa_payoh,TPYLor82Q25,128.0,30920.976,35300.94,5.406,5.406,5.406,-1.229,1.0
lorong_8_toa_payoh,TPYLor82Q25,130.0,30922.425,35302.281,5.406,5.406,5.406,-1.215,1.0
lorong_8_toa_payoh,TPYLor82Q25,132.0,30923.374,35304.041,5.42,5.42,5.406,-1.186,1.0
lorong_8_toa_payoh,TPYLor82Q25,134.0,30924.324,35305.801,10.463,5.398,5.398,-1.141,1.0
lorong_8_toa_payoh,TPYLor82Q25,136.0,30925.274,35307.561,5.376,5.376,5.376,-1.135,1.0
lorong_8_toa_payoh,TPYLor82Q25,138.0,30926.223,35309.321,5.342,5.342,5.342,-1.142,1.0
lorong_8_toa_payoh,TPYLor82Q25,140.0,30927.173,35311.082,5.261,5.261,5.261,-1.211,1.0
lorong_8_toa_payoh,TPYLor82Q25,142.0,30927.969,35312.906,5.208,5.208,5.208,-1.256,1.0
lorong_8_toa_payoh,TPYLor82Q25,144.0,30928.551,35314.819,5.164,5.164,5.164,-1.328,1.0
lorong_8_toa_payoh,TPYLor82Q25,146.0,30929.133,35316.733,5.107,5.107,5.107,-1.451,1.0
lorong_8_toa_payoh,TPYLor82Q25,148.0,30929.714,35318.646,5.037,5.037,5.037,-1.533,1.0
lorong_8_toa_payoh,TPYLor82Q25,150.0,30930.296,35320.56,4.988,4.988,4.988,-1.656,1.0
lorong_8_toa_payoh,TPYLor82Q25,152.0,30930.844,35322.483,4.931,4.931,4.931,-1.711,1.0
lorong_8_toa_payoh,TPYLor82Q25,154.0,30931.389,35324.408,4.897,4.897,4.897,-1.794,1.0
lorong_8_toa_payoh,TPYLor82Q25,156.0,30931.933,35326.332,4.798,4.798,4.798,-1.857,1.0
lorong_8_toa_payoh,TPYLor82Q25,158.0,30932.477,35328.257,4.772,4.772,4.772,-1.907,1.0
lorong_8_toa_payoh,TPYLor82Q25,160.0,30933.022,35330.181,4.745,4.745,4.745,-1.959,1.0
lorong_8_toa_payoh,TPYLor82Q25,162.0,30933.274,35332.161,4.738,4.738,4.738,-1.964,1.0
lorong_8_toa_payoh,TPYLor82Q25,164.0,30933.472,35334.151,4.731,4.731,4.731,-2.01,1.0
lorong_8_toa_payoh,TPYLor82Q25,166.0,30933.669,35336.141,4.693,4.693,4.693,-2.032,1.0
lorong_8_toa_payoh,TPYLor82Q25,168.0,30933.867,35338.132,4.664,4.664,4.664,-2.039,1.0
lorong_8_toa_payoh,TPYLor82Q25,170.0,30934.064,35340.122,4.62,4.62,4.62,-1.954,1.0
lorong_8_toa_payoh,TPYLor82Q25,172.0,30934.251,35342.113,4.593,4.593,4.593,-1.931,1.0
lorong_8_toa_payoh,TPYLor82Q25,174.0,30934.323,35344.112,4.55,4.55,4.55,-1.91,1.0
lorong_8_toa_payoh,TPYLor82Q25,176.0,30934.394,35346.11,4.485,4.485,4.485,-1.872,1.0
lorong_8_toa_payoh,TPYLor82Q25,178.0,30934.465,35348.109,4.44,4.44,4.44,-1.818,1.0
lorong_8_toa_payoh,TPYLor82Q25,180.0,30934.536,35350.108,4.367,4.367,4.367,-1.767,1.0
lorong_8_toa_payoh,TPYLor82Q25,182.0,30934.599,35352.107,4.357,4.357,4.357,-1.713,1.0
lorong_8_toa_payoh,TPYLor82Q25,184.0,30934.663,35354.106,4.31,4.31,4.31,-1.706,1.0
lorong_8_toa_payoh,TPYLor82Q25,186.0,30934.727,35356.105,4.279,4.279,4.279,-1.542,1.0
lorong_8_toa_payoh,TPYLor82Q25,188.0,30934.791,35358.104,4.262,4.262,4.262,-1.498,1.0
lorong_8_toa_payoh,TPYLor82Q25,190.0,30934.854,35360.103,4.228,4.228,4.23,-1.438,1.0
lorong_8_toa_payoh,TPYLor82Q25,192.0,30934.928,35362.101,4.23,4.23,4.228,-1.358,1.0
lorong_8_toa_payoh,TPYLor82Q25,194.0,30935.017,35364.099,4.192,4.192,4.192,-1.347,1.0
lorong_8_toa_payoh,TPYLor82Q25,196.0,30935.105,35366.097,4.156,4.156,4.156,-1.284,1.0
lorong_8_toa_payoh,TPYLor82Q25,198.0,30935.194,35368.095,4.119,4.119,4.119,,
lorong_8_toa_payoh,TPYLor82Q25,200.0,30935.282,35370.093,4.088,4.088,4.088,,
lorong_8_toa_payoh,TPYLor82Q25,202.0,30935.233,35372.092,4.049,4.049,4.049,-1.299,1.0
lorong_8_toa_payoh,TPYLor82Q25,204.0,30935.159,35374.091,4.018,4.018,4.018,-1.295,1.0
lorong_8_toa_payoh,TPYLor82Q25,206.0,30935.084,35376.089,3.984,3.984,3.984,-1.457,1.0
lorong_8_toa_payoh,TPYLor82Q25,208.0,30935.01,35378.088,3.946,3.946,3.946,-1.581,1.0
lorong_8_toa_payoh,TPYLor82Q25,210.0,30934.935,35380.086,3.928,3.928,3.928,-1.647,1.0
lorong_8_toa_payoh,TPYLor82Q25,212.0,30935.034,35382.083,3.903,3.903,3.903,-1.821,1.0
lorong_8_toa_payoh,TPYLor82Q25,214.0,30935.159,35384.079,3.874,3.874,3.874,-1.795,1.0
lorong_8_toa_payoh,TPYLor82Q25,216.0,30935.284,35386.075,3.837,3.837,3.874,-1.747,1.0
lorong_8_toa_payoh,TPYLor82Q25,218.0,30935.41,35388.071,3.848,3.848,3.874,-1.719,1.0
lorong_8_toa_payoh,TPYLor82Q25,220.0,30935.531,35390.067,3.882,3.882,3.882,-1.666,1.0
lorong_8_toa_payoh,TPYLor82Q25,222.0,30935.206,35392.04,3.923,3.923,3.923,-1.648,1.0
lorong_8_toa_payoh,TPYLor82Q25,224.0,30934.882,35394.014,3.964,3.964,3.923,-1.582,1.0
lorong_8_toa_payoh,TPYLor82Q25,226.0,30934.557,35395.987,3.929,3.929,3.923,-1.523,1.0
lorong_8_toa_payoh,TPYLor82Q25,228.0,30934.233,35397.961,4.447,3.89,3.89,-1.461,1.0
lorong_8_toa_payoh,TPYLor82Q25,230.0,30933.98,35399.936,3.854,3.852,3.852,-1.43,1.0
lorong_8_toa_payoh,TPYLor82Q25,232.0,30934.238,35401.919,6.706,3.813,3.813,-1.371,1.0
lorong_8_toa_payoh,TPYLor82Q25,234.0,30934.496,35403.902,3.773,3.773,3.773,-1.353,1.0
lorong_8_toa_payoh,TPYLor82Q25,236.0,30934.754,35405.885,3.611,3.611,3.611,-1.313,1.0
lorong_8_toa_payoh,TPYLor82Q25,238.0,30935.013,35407.869,3.491,3.491,3.491,-1.282,1.0
lorong_8_toa_payoh,TPYLor82Q25,240.0,30935.206,35409.854,3.378,3.378,3.378,-1.269,1.0
lorong_8_toa_payoh,TPYLor82Q25,242.0,30935.103,35411.852,3.264,3.264,3.264,-1.242,1.0
lorong_8_toa_payoh,TPYLor82Q25,244.0,30935.0,35413.849,3.233,3.233,3.233,-1.192,1.0
lorong_8_toa_payoh,TPYLor82Q25,246.0,30934.896,35415.846,3.214,3.214,3.231,-1.21,1.0
lorong_8_toa_payoh,TPYLor82Q25,248.0,30934.793,35417.844,3.223,3.223,3.231,-1.229,1.0
lorong_8_toa_payoh,TPYLor82Q25,250.0,30934.689,35419.841,3.231,3.231,3.231,-1.298,1.0
lorong_8_toa_payoh,TPYLor82Q25,252.0,30934.618,35421.84,3.239,3.239,3.239,-1.367,1.0
lorong_8_toa_payoh,TPYLor82Q25,254.0,30934.556,35423.839,3.242,3.242,3.242,-1.367,1.0
lorong_8_toa_payoh,TPYLor82Q25,256.0,30934.494,35425.838,3.298,3.298,3.242,-1.33,1.0
lorong_8_toa_payoh,TPYLor82Q25,258.0,30934.432,35427.837,3.291,3.291,3.242,,
lorong_8_toa_payoh,TPYLor82Q25,260.0,30934.371,35429.836,3.226,3.226,3.23,,
lorong_8_toa_payoh,TPYLor82Q25,262.0,30934.323,35431.835,3.23,3.23,3.226,,
lorong_8_toa_payoh,TPYLor82Q25,264.0,30934.295,35433.835,3.196,3.196,3.206,,
lorong_8_toa_payoh,TPYLor82Q25,266.0,30934.268,35435.835,3.206,3.206,3.196,,
lorong_8_toa_payoh,TPYLor82Q25,268.0,30934.24,35437.835,3.152,3.152,3.177,,
lorong_8_toa_payoh,TPYLor82Q25,270.0,30934.213,35439.834,3.166,3.166,3.166,,
lorong_8_toa_payoh,TPYLor82Q25,272.0,30934.224,35441.834,3.177,3.177,3.158,-0.112,1.0
lorong_8_toa_payoh,TPYLor82Q25,274.0,30934.305,35443.832,3.158,3.158,3.158,-0.071,1.0
lorong_8_toa_payoh,TPYLor82Q25,276.0,30934.387,35445.83,3.136,3.136,3.148,-0.13,1.0
lorong_8_toa_payoh,TPYLor82Q25,278.0,30934.468,35447.829,3.148,3.148,3.136,-0.173,1.0
lorong_8_toa_payoh,TPYLor82Q25,280.0,30934.549,35449.827,3.09,3.09,3.103,-0.215,1.0
lorong_8_toa_payoh,TPYLor82Q25,282.0,30934.54,35451.825,3.103,3.103,3.103,-0.271,1.0
lorong_8_toa_payoh,TPYLor82Q25,284.0,30934.422,35453.821,3.103,3.103,3.103,-0.277,1.0
lorong_8_toa_payoh,TPYLor82Q25,286.0,30934.304,35455.818,3.125,3.125,3.125,-0.277,1.0
lorong_8_toa_payoh,TPYLor82Q25,288.0,30934.186,35457.814,3.203,3.203,3.203,-0.251,1.0
lorong_8_toa_payoh,TPYLor82Q25,290.0,30934.143,35459.812,3.232,3.232,3.218,-0.158,1.0
lorong_8_toa_payoh,TPYLor82Q25,292.0,30934.184,35461.812,5.054,3.226,3.218,-0.148,1.0
lorong_8_toa_payoh,TPYLor82Q25,294.0,30934.225,35463.811,4.5,3.218,3.218,0.006,1.0
lorong_8_toa_payoh,TPYLor82Q25,296.0,30934.265,35465.811,3.215,3.212,3.212,0.16,1.0
lorong_8_toa_payoh,TPYLor82Q25,298.0,30934.306,35467.81,3.687,3.204,3.204,,
lorong_8_toa_payoh,TPYLor82Q25,300.0,30934.367,35469.809,3.141,3.198,3.202,,
lorong_8_toa_payoh,TPYLor82Q25,302.0,30934.471,35471.807,3.19,3.19,3.198,0.313,1.0
lorong_8_toa_payoh,TPYLor82Q25,304.0,30934.575,35473.804,3.202,3.202,3.19,0.322,1.0
lorong_8_toa_payoh,TPYLor82Q25,306.0,30934.679,35475.801,3.152,3.152,3.152,0.339,1.0
lorong_8_toa_payoh,TPYLor82Q25,308.0,30934.784,35477.798,10.043,3.127,3.127,0.358,1.0
lorong_8_toa_payoh,TPYLor82Q25,310.0,30934.849,35479.796,8.709,3.102,3.102,0.413,1.0
lorong_8_toa_payoh,TPYLor82Q25,312.0,30934.795,35481.796,6.699,3.076,3.076,0.427,1.0
lorong_8_toa_payoh,TPYLor82Q25,314.0,30934.742,35483.795,3.051,3.051,3.076,0.427,1.0
